"EVTYPE","EventCategory"
"SNOW DROUGHT","Snow/Winter Storm/Blizzard"
"SNOW FREEZING RAIN","Snow/Winter Storm/Blizzard"
"SNOW- HIGH WIND- WIND CHILL","Snow/Winter Storm/Blizzard"
"SNOW SHOWERS","Snow/Winter Storm/Blizzard"
"SNOW SLEET","Snow/Winter Storm/Blizzard"
"SNOW SQUALL","Snow/Winter Storm/Blizzard"
"SNOW SQUALLS","Snow/Winter Storm/Blizzard"
"Snow Squalls","Snow/Winter Storm/Blizzard"
"Snow squalls","Snow/Winter Storm/Blizzard"
"SNOW/ BITTER COLD","Snow/Winter Storm/Blizzard"
"SNOW/ ICE","Snow/Winter Storm/Blizzard"
"SNOW/BLOWING SNOW","Snow/Winter Storm/Blizzard"
"SNOW/COLD","Snow/Winter Storm/Blizzard"
"SNOW/FREEZING RAIN","Snow/Winter Storm/Blizzard"
"SNOW/HEAVY SNOW","Snow/Winter Storm/Blizzard"
"SNOW/HIGH WINDS","Snow/Winter Storm/Blizzard"
"SNOW/ICE","Snow/Winter Storm/Blizzard"
"SNOW/ICE STORM","Snow/Winter Storm/Blizzard"
"SNOW/RAIN","Snow/Winter Storm/Blizzard"
"SNOW/RAIN/SLEET","Snow/Winter Storm/Blizzard"
"SNOW/SLEET","Snow/Winter Storm/Blizzard"
"SNOW/SLEET/FREEZING RAIN","Snow/Winter Storm/Blizzard"
"SNOW/SLEET/RAIN","Snow/Winter Storm/Blizzard"
"SNOW\COLD","Snow/Winter Storm/Blizzard"
"SNOWFALL RECORD","Snow/Winter Storm/Blizzard"
"SNOWMELT FLOODING","Floods"
"SNOWSTORM","Snow/Winter Storm/Blizzard"
"SOUTHEAST","Miscellaneous"
"STORM FORCE WINDS","High Winds"
"STORM SURGE","High Seas/Extreme Tides/Surf"
"STORM SURGE/TIDE","High Seas/Extreme Tides/Surf"
"STREAM FLOODING","Floods"
"STREET FLOOD","Floods"
"STREET FLOODING","Floods"
"STRONG WIND","High Winds"
"Strong Wind","High Winds"
"STRONG WIND GUST","High Winds"
"STRONG WINDS","High Winds"
"Strong Winds","High Winds"
"Strong winds","High Winds"
"Temperature record","Miscellaneous"
"THUDERSTORM WINDS","Thunderstorm"
"THUNDEERSTORM WINDS","Thunderstorm"
"THUNDERESTORM WINDS","Thunderstorm"
"THUNDERSNOW","Thunderstorm"
"Thundersnow shower","Thunderstorm"
"THUNDERSTORM","Thunderstorm"
"THUNDERSTORM  WINDS","Thunderstorm"
"THUNDERSTORM DAMAGE","Thunderstorm"
"THUNDERSTORM DAMAGE TO","Thunderstorm"
"THUNDERSTORM HAIL","Thunderstorm"
"THUNDERSTORM W INDS","Thunderstorm"
"THUNDERSTORM WIND","Thunderstorm"
"Thunderstorm Wind","Thunderstorm"
"THUNDERSTORM WIND (G40)","Thunderstorm"
"THUNDERSTORM WIND 50","Thunderstorm"
"THUNDERSTORM WIND 52","Thunderstorm"
"THUNDERSTORM WIND 56","Thunderstorm"
"THUNDERSTORM WIND 59","Thunderstorm"
"THUNDERSTORM WIND 59 MPH","Thunderstorm"
"THUNDERSTORM WIND 59 MPH.","Thunderstorm"
"THUNDERSTORM WIND 60 MPH","Thunderstorm"
"THUNDERSTORM WIND 65 MPH","Thunderstorm"
"THUNDERSTORM WIND 65MPH","Thunderstorm"
"THUNDERSTORM WIND 69","Thunderstorm"
"THUNDERSTORM WIND 98 MPH","Thunderstorm"
"THUNDERSTORM WIND G50","Thunderstorm"
"THUNDERSTORM WIND G51","Thunderstorm"
"THUNDERSTORM WIND G52","Thunderstorm"
"THUNDERSTORM WIND G55","Thunderstorm"
"THUNDERSTORM WIND G60","Thunderstorm"
"THUNDERSTORM WIND G61","Thunderstorm"
"THUNDERSTORM WIND TREES","Thunderstorm"
"THUNDERSTORM WIND.","Thunderstorm"
"THUNDERSTORM WIND/ TREE","Thunderstorm"
"THUNDERSTORM WIND/ TREES","Thunderstorm"
"THUNDERSTORM WIND/AWNING","Thunderstorm"
"THUNDERSTORM WIND/HAIL","Thunderstorm"
"THUNDERSTORM WIND/LIGHTNING","Thunderstorm"
"THUNDERSTORM WINDS","Thunderstorm"
"THUNDERSTORM WINDS      LE CEN","Thunderstorm"
"THUNDERSTORM WINDS 13","Thunderstorm"
"THUNDERSTORM WINDS 2","Thunderstorm"
"THUNDERSTORM WINDS 50","Thunderstorm"
"THUNDERSTORM WINDS 52","Thunderstorm"
"THUNDERSTORM WINDS 53","Thunderstorm"
"THUNDERSTORM WINDS 60","Thunderstorm"
"THUNDERSTORM WINDS 61","Thunderstorm"
"THUNDERSTORM WINDS 62","Thunderstorm"
"THUNDERSTORM WINDS 63 MPH","Thunderstorm"
"THUNDERSTORM WINDS AND","Thunderstorm"
"THUNDERSTORM WINDS FUNNEL CLOU","Thunderstorm"
"THUNDERSTORM WINDS G","Thunderstorm"
"THUNDERSTORM WINDS G60","Thunderstorm"
"THUNDERSTORM WINDS HAIL","Thunderstorm"
"THUNDERSTORM WINDS HEAVY RAIN","Thunderstorm"
"THUNDERSTORM WINDS LIGHTNING","Thunderstorm"
"THUNDERSTORM WINDS SMALL STREA","Thunderstorm"
"THUNDERSTORM WINDS URBAN FLOOD","Thunderstorm"
"THUNDERSTORM WINDS.","Thunderstorm"
"THUNDERSTORM WINDS/ FLOOD","Thunderstorm"
"THUNDERSTORM WINDS/ HAIL","Thunderstorm"
"THUNDERSTORM WINDS/FLASH FLOOD","Thunderstorm"
"THUNDERSTORM WINDS/FLOODING","Thunderstorm"
"THUNDERSTORM WINDS/FUNNEL CLOU","Thunderstorm"
"THUNDERSTORM WINDS/HAIL","Thunderstorm"
"THUNDERSTORM WINDS/HEAVY RAIN","Thunderstorm"
"THUNDERSTORM WINDS53","Thunderstorm"
"THUNDERSTORM WINDSHAIL","Thunderstorm"
"THUNDERSTORM WINDSS","Thunderstorm"
"THUNDERSTORM WINS","Thunderstorm"
"THUNDERSTORMS","Thunderstorm"
"THUNDERSTORMS WIND","Thunderstorm"
"THUNDERSTORMS WINDS","Thunderstorm"
"THUNDERSTORMW","Thunderstorm"
"THUNDERSTORMW 50","Thunderstorm"
"THUNDERSTORMW WINDS","Thunderstorm"
"THUNDERSTORMWINDS","Thunderstorm"
"THUNDERSTROM WIND","Thunderstorm"
"THUNDERSTROM WINDS","Thunderstorm"
"THUNDERTORM WINDS","Thunderstorm"
"THUNDERTSORM WIND","Thunderstorm"
"THUNDESTORM WINDS","Thunderstorm"
"THUNERSTORM WINDS","Thunderstorm"
"TIDAL FLOOD","Floods"
"Tidal Flooding","Floods"
"TIDAL FLOODING","Floods"
"TORNADO","Tornadoes/Waterspouts"
"TORNADO DEBRIS","Tornadoes/Waterspouts"
"TORNADO F0","Tornadoes/Waterspouts"
"TORNADO F1","Tornadoes/Waterspouts"
"TORNADO F2","Tornadoes/Waterspouts"
"TORNADO F3","Tornadoes/Waterspouts"
"TORNADO/WATERSPOUT","Tornadoes/Waterspouts"
"TORNADOES","Tornadoes/Waterspouts"
"TORNADOES, TSTM WIND, HAIL","Tornadoes/Waterspouts"
"TORNADOS","Tornadoes/Waterspouts"
"TORNDAO","Tornadoes/Waterspouts"
"TORRENTIAL RAIN","Heavy Rains"
"Torrential Rainfall","Heavy Rains"
"TROPICAL DEPRESSION","Miscellaneous"
"TROPICAL STORM","Thunderstorm"
"TROPICAL STORM ALBERTO","Thunderstorm"
"TROPICAL STORM DEAN","Thunderstorm"
"TROPICAL STORM GORDON","Thunderstorm"
"TROPICAL STORM JERRY","Thunderstorm"
"TSTM","Thunderstorm"
"TSTM HEAVY RAIN","Thunderstorm"
"TSTM WIND","Thunderstorm"
"Tstm Wind","Thunderstorm"
"TSTM WIND  (G45)","Thunderstorm"
"TSTM WIND (41)","Thunderstorm"
"TSTM WIND (G35)","Thunderstorm"
"TSTM WIND (G40)","Thunderstorm"
"TSTM WIND (G45)","Thunderstorm"
"TSTM WIND 40","Thunderstorm"
"TSTM WIND 45","Thunderstorm"
"TSTM WIND 50","Thunderstorm"
"TSTM WIND 51","Thunderstorm"
"TSTM WIND 52","Thunderstorm"
"TSTM WIND 55","Thunderstorm"
"TSTM WIND 65)","Thunderstorm"
"TSTM WIND AND LIGHTNING","Thunderstorm"
"TSTM WIND DAMAGE","Thunderstorm"
"TSTM WIND G45","Thunderstorm"
"TSTM WIND G58","Thunderstorm"
"TSTM WIND/HAIL","Thunderstorm"
"TSTM WINDS","Thunderstorm"
"TSTM WND","Thunderstorm"
"TSTMW","Thunderstorm"
"TSUNAMI","Miscellaneous"
"TUNDERSTORM WIND","Thunderstorm"
"TYPHOON","Hurricanes"
"Unseasonable Cold","Severe Cold"
"UNSEASONABLY COLD","Severe Cold"
"UNSEASONABLY COOL","Severe Cold"
"UNSEASONABLY COOL & WET","Severe Cold"
"UNSEASONABLY DRY","Severe Heat"
"UNSEASONABLY HOT","Severe Heat"
"UNSEASONABLY WARM","Severe Heat"
"UNSEASONABLY WARM & WET","Severe Heat"
"UNSEASONABLY WARM AND DRY","Severe Heat"
"UNSEASONABLY WARM YEAR","Severe Heat"
"UNSEASONABLY WARM/WET","Severe Heat"
"UNSEASONABLY WET","Miscellaneous"
"UNSEASONAL LOW TEMP","Severe Cold"
"UNSEASONAL RAIN","Miscellaneous"
"UNUSUAL WARMTH","Severe Heat"
"UNUSUAL/RECORD WARMTH","Severe Heat"
"UNUSUALLY COLD","Severe Cold"
"UNUSUALLY LATE SNOW","Miscellaneous"
"UNUSUALLY WARM","Severe Heat"
"URBAN AND SMALL","Floods"
"URBAN AND SMALL STREAM","Floods"
"URBAN AND SMALL STREAM FLOOD","Floods"
"URBAN AND SMALL STREAM FLOODIN","Floods"
"URBAN FLOOD","Floods"
"Urban flood","Floods"
"Urban Flood","Floods"
"URBAN FLOOD LANDSLIDE","Floods"
"URBAN FLOODING","Floods"
"Urban Flooding","Floods"
"URBAN FLOODS","Floods"
"URBAN SMALL","Floods"
"URBAN SMALL STREAM FLOOD","Floods"
"URBAN/SMALL","Floods"
"URBAN/SMALL FLOODING","Floods"
"URBAN/SMALL STREAM","Floods"
"URBAN/SMALL STREAM  FLOOD","Floods"
"URBAN/SMALL STREAM FLOOD","Floods"
"URBAN/SMALL STREAM FLOODING","Floods"
"URBAN/SMALL STRM FLDG","Floods"
"URBAN/SML STREAM FLD","Floods"
"URBAN/SML STREAM FLDG","Floods"
"URBAN/STREET FLOODING","Floods"
"VERY DRY","Severe Heat"
"VERY WARM","Severe Heat"
"VOG","Miscellaneous"
"Volcanic Ash","Miscellaneous"
"VOLCANIC ASH","Miscellaneous"
"Volcanic Ash Plume","Miscellaneous"
"VOLCANIC ASHFALL","Miscellaneous"
"VOLCANIC ERUPTION","Miscellaneous"
"WAKE LOW WIND","Miscellaneous"
"WALL CLOUD","Miscellaneous"
"WALL CLOUD/FUNNEL CLOUD","Miscellaneous"
"WARM DRY CONDITIONS","Miscellaneous"
"WARM WEATHER","Miscellaneous"
"WATER SPOUT","Tornadoes/Waterspouts"
"WATERSPOUT","Tornadoes/Waterspouts"
"WATERSPOUT-","Tornadoes/Waterspouts"
"WATERSPOUT FUNNEL CLOUD","Tornadoes/Waterspouts"
"WATERSPOUT TORNADO","Tornadoes/Waterspouts"
"WATERSPOUT/","Tornadoes/Waterspouts"
"WATERSPOUT/ TORNADO","Tornadoes/Waterspouts"
"WATERSPOUT/TORNADO","Tornadoes/Waterspouts"
"WATERSPOUTS","Tornadoes/Waterspouts"
"WATERSPOUT-TORNADO","Tornadoes/Waterspouts"
"WAYTERSPOUT","Tornadoes/Waterspouts"
"wet micoburst","Heavy Rains"
"WET MICROBURST","Heavy Rains"
"Wet Month","Heavy Rains"
"WET SNOW","Heavy Rains"
"WET WEATHER","Heavy Rains"
"Wet Year","Heavy Rains"
"Whirlwind","High Winds"
"WHIRLWIND","High Winds"
"WILD FIRES","Wildfires"
"WILD/FOREST FIRE","Wildfires"
"WILD/FOREST FIRES","Wildfires"
"WILDFIRE","Wildfires"
"WILDFIRES","Wildfires"
"WIND","High Winds"
"Wind","High Winds"
"WIND ADVISORY","High Winds"
"WIND AND WAVE","High Winds"
"WIND CHILL","High Winds"
"WIND CHILL/HIGH WIND","High Winds"
"WIND DAMAGE","High Winds"
"Wind Damage","High Winds"
"WIND GUSTS","High Winds"
"WIND STORM","High Winds"
"WIND/HAIL","High Winds"
"WINDS","High Winds"
"WINTER MIX","Snow/Winter Storm/Blizzard"
"WINTER STORM","Snow/Winter Storm/Blizzard"
"WINTER STORM HIGH WINDS","Snow/Winter Storm/Blizzard"
"WINTER STORM/HIGH WIND","Snow/Winter Storm/Blizzard"
"WINTER STORM/HIGH WINDS","Snow/Winter Storm/Blizzard"
"WINTER STORMS","Snow/Winter Storm/Blizzard"
"WINTER WEATHER","Snow/Winter Storm/Blizzard"
"Winter Weather","Snow/Winter Storm/Blizzard"
"WINTER WEATHER MIX","Snow/Winter Storm/Blizzard"
"WINTER WEATHER/MIX","Snow/Winter Storm/Blizzard"
"WINTERY MIX","Snow/Winter Storm/Blizzard"
"WINTRY MIX","Snow/Winter Storm/Blizzard"
"Wintry Mix","Snow/Winter Storm/Blizzard"
"Wintry mix","Snow/Winter Storm/Blizzard"
"WND","High Winds"
